,Manufacturer,Sales_in_thousands,__year_resale_value,Vehicle_type,Price_range,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor
20,Chevrolet,135.126,11.225,Passenger,15 to 20,16.535,3.1,200,107.0,69.4,190.4,3.5,15.0,26,67.31446216
21,Chevrolet,24.629,10.31,Passenger,15 to 20,18.89,3.1,200,107.5,72.5,200.9,3.5,16.6,26,69.9913956
22,Chevrolet,42.593,11.525,Passenger,15 to 20,19.39,3.4,200,110.5,72.7,197.9,3.5,17.0,28,72.03091719
23,Chevrolet,26.402,13.025,Passenger,20 to 25,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,26,81.11854333
24,Chevrolet,17.947,36.225,Passenger,45 to 50,45.705,5.7,350,104.5,73.6,179.7,3.5,19.1,22,141.14115
25,Chevrolet,32.299,9.125,Passenger,10 to 15,13.96,1.8,150,97.1,66.7,174.3,2.5,13.2,34,48.2976361
26,Chevrolet,21.855,5.16,Passenger,05 to 10,9.235,1.0,100,93.1,62.6,149.4,2.0,10.3,46,23.27627233
28,Chrysler,7.854,12.36,Passenger,15 to 20,19.84,2.5,200,103.7,69.7,190.9,3.0,15.9,24,65.95718396
29,Chrysler,32.775,14.18,Passenger,20 to 25,24.495,2.5,200,106.0,69.2,193.0,3.5,16.0,24,69.52135505
30,Chrysler,31.148,13.725,Passenger,20 to 25,22.245,2.7,200,113.0,74.4,209.1,3.5,17.0,26,80.02378204
31,Chrysler,32.306,12.64,Passenger,15 to 20,16.48,2.0,150,108.0,71.0,186.0,3.0,16.0,28,53.56619987
32,Chrysler,13.462,17.325,Passenger,25 to 30,28.34,3.5,300,113.0,74.4,207.7,4.0,17.0,24,101.3292807
35,Dodge,76.034,7.75,Passenger,10 to 15,12.64,2.0,150,105.0,74.4,174.4,3.0,12.5,30,52.08489875
36,Dodge,4.734,12.545,Passenger,15 to 20,19.045,2.5,200,103.7,69.1,190.2,3.0,15.9,24,65.65050834
37,Dodge,71.186,10.185,Passenger,20 to 25,20.23,2.5,200,108.0,71.0,186.0,3.5,16.0,24,67.87610784
39,Dodge,0.916,58.47,Passenger,65 to 70,69.725,8.0,450,96.2,75.7,176.7,3.5,19.0,16,188.144323
40,Dodge,227.061,15.06,Car,15 to 20,19.46,5.2,250,138.7,79.3,224.2,4.5,26.0,18,90.21170005
41,Dodge,16.767,15.51,Car,20 to 25,21.315,3.9,200,109.6,78.8,192.6,4.5,32.0,16,71.13529161
42,Dodge,31.038,13.425,Car,15 to 20,18.575,3.9,200,127.2,78.8,208.5,4.5,32.0,16,70.07832154
43,Dodge,111.313,11.26,Car,15 to 20,16.98,2.5,150,131.0,71.5,215.0,4.0,22.0,20,49.64500177
45,Dodge,181.749,12.025,Car,15 to 20,19.565,2.4,150,113.3,76.8,186.3,4.0,20.0,24,61.22700031
46,Ford,70.227,7.425,Passenger,10 to 15,12.07,2.0,150,98.4,67.0,174.7,2.5,12.7,30,44.08370946
47,Ford,113.369,12.76,Passenger,20 to 25,21.56,3.8,200,101.3,73.1,183.2,3.5,15.7,24,76.50918456
48,Ford,35.068,8.835,Passenger,15 to 20,17.035,2.5,200,106.5,69.1,184.6,3.0,15.0,26,67.35101072
49,Ford,245.815,10.055,Passenger,15 to 20,17.885,3.0,200,108.5,73.0,197.6,3.5,16.0,24,62.5037395
51,Ford,63.403,14.21,Passenger,20 to 25,22.195,4.6,200,114.7,78.2,212.0,4.0,19.0,22,80.49953671
52,Ford,276.747,16.64,Car,30 to 35,31.93,4.0,250,111.6,70.2,190.7,4.0,21.0,20,87.63549578
53,Ford,155.787,13.175,Car,20 to 25,21.41,3.0,150,120.7,76.6,200.9,4.0,26.0,22,62.09504839
54,Ford,125.338,23.575,Car,35 to 40,36.135,4.6,250,119.0,78.7,204.6,5.0,26.0,16,100.0248023
55,Ford,220.65,7.85,Car,10 to 15,12.05,2.5,150,117.5,69.4,200.7,3.5,20.0,24,47.38953131
56,Ford,540.561,15.075,Car,25 to 30,26.935,4.6,250,138.5,79.1,224.5,4.5,25.1,18,89.40193473
57,Honda,199.685,9.85,Passenger,10 to 15,12.885,1.6,150,103.2,67.1,175.1,2.5,11.9,32,42.87909734
58,Honda,230.902,13.21,Passenger,15 to 20,15.35,2.3,150,106.9,70.3,188.8,3.0,17.1,28,54.26954829
59,Honda,73.203,17.71,Car,20 to 25,20.55,2.0,150,103.2,68.9,177.6,3.5,15.3,24,60.08796662
60,Honda,12.855,17.525,Car,25 to 30,26.6,3.2,250,106.4,70.4,178.2,4.0,21.1,20,83.6025008
61,Honda,76.029,19.49,Car,25 to 30,26.0,3.5,250,118.1,75.6,201.2,4.5,20.0,24,85.21769134
62,Hyundai,41.184,5.86,Passenger,05 to 10,9.699,1.5,100,96.1,65.7,166.7,2.5,11.9,32,36.67228358
63,Hyundai,66.692,7.825,Passenger,10 to 15,11.799,2.0,150,100.4,66.9,174.0,3.0,14.5,28,54.59004516
64,Hyundai,29.45,8.91,Passenger,10 to 15,14.999,2.4,150,106.3,71.6,185.4,3.5,17.2,26,58.758249
65,Infiniti,23.713,19.69,Passenger,25 to 30,29.465,3.0,250,108.3,70.2,193.7,3.5,18.5,26,92.43688923
67,Jeep,55.557,13.475,Car,10 to 15,14.46,2.5,150,93.4,66.7,152.0,3.5,19.0,18,48.67289791
68,Jeep,80.556,13.775,Car,20 to 25,21.62,4.0,200,101.4,69.4,167.5,3.5,20.0,20,76.58443962
69,Jeep,157.04,18.81,Car,25 to 30,26.895,4.0,200,105.9,72.3,181.5,4.0,20.5,20,80.38777912
70,Lexus,24.072,26.975,Passenger,30 to 35,31.505,3.0,250,105.1,70.5,190.2,3.5,18.5,24,87.21100104
71,Lexus,12.698,32.075,Passenger,35 to 40,37.805,3.0,250,110.2,70.9,189.2,4.0,19.8,24,94.9466984
73,Lexus,6.375,40.375,Passenger,50 to 55,54.005,4.0,300,112.2,72.0,196.7,4.0,22.5,22,124.4467163
76,Lincoln,13.798,20.525,Passenger,35 to 40,39.08,4.6,300,109.0,73.6,208.5,4.0,20.0,22,113.5402069
77,Lincoln,48.911,21.725,Passenger,40 to 45,43.33,4.6,250,117.7,78.2,215.3,4.5,19.0,22,93.9579169
79,Mitsubishi,26.232,8.325,Passenger,10 to 15,13.987,1.8,150,98.4,66.5,173.6,2.5,13.2,30,45.83218056
80,Mitsubishi,42.541,10.395,Passenger,15 to 20,19.047,2.4,200,100.8,68.9,175.4,3.0,15.9,24,62.44196235
81,Mitsubishi,55.616,10.595,Passenger,15 to 20,17.357,2.4,150,103.7,68.5,187.8,3.0,16.3,26,58.60677292
82,Mitsubishi,5.711,16.575,Passenger,20 to 25,24.997,3.5,250,107.1,70.3,194.1,3.5,19.0,22,84.83077858
83,Mitsubishi,0.11,20.94,Passenger,25 to 30,25.45,3.0,200,97.2,72.4,180.3,3.5,19.8,22,67.54415494
84,Mitsubishi,11.337,19.125,Car,30 to 35,31.807,3.5,200,107.3,69.9,186.6,5.0,24.3,18,83.92081504
85,Mitsubishi,39.348,13.88,Car,20 to 25,22.527,3.0,200,107.3,66.7,178.3,4.0,19.5,20,70.66094179
86,Mercury,14.351,8.8,Passenger,15 to 20,16.24,2.0,150,106.5,69.1,184.8,3.0,15.0,28,50.99774761
87,Mercury,26.529,13.89,Passenger,15 to 20,16.54,2.0,150,106.4,69.6,185.0,3.0,16.0,30,51.11347426
88,Mercury,67.956,11.03,Passenger,15 to 20,19.035,3.0,200,108.5,73.0,199.7,3.5,16.0,24,62.23996663
89,Mercury,81.174,14.875,Passenger,20 to 25,22.605,4.6,200,114.7,78.2,212.0,4.0,19.0,22,80.65769646
90,Mercury,27.609,20.43,Car,25 to 30,27.56,4.0,250,111.6,70.2,190.1,4.0,21.0,18,85.94974425
91,Mercury,20.38,14.795,Car,20 to 25,22.51,3.3,200,112.2,74.9,194.7,4.0,20.0,22,69.671461
92,Mercedes-B,18.392,26.05,Passenger,30 to 35,31.75,2.3,200,105.9,67.7,177.4,3.5,16.4,26,78.28073088
93,Mercedes-B,27.602,41.45,Passenger,45 to 50,49.9,3.2,250,111.5,70.8,189.4,4.0,21.1,26,98.2497375
94,Mercedes-B,16.774,50.375,Passenger,65 to 70,69.7,4.3,300,121.5,73.1,203.1,4.5,23.2,22,125.2738757
95,Mercedes-B,3.311,58.6,Passenger,80 to 85,82.6,5.0,350,99.0,71.3,177.1,4.5,21.1,20,139.9822936
101,Nissan,42.643,8.45,Passenger,10 to 15,13.499,1.8,150,99.8,67.3,177.5,3.0,13.2,30,50.24197791
102,Nissan,88.094,11.295,Passenger,20 to 25,20.39,2.4,200,103.1,69.1,183.5,3.5,15.9,26,63.31372783
103,Nissan,79.853,15.125,Passenger,25 to 30,26.249,3.0,250,108.3,70.3,190.5,3.5,18.5,26,89.42782031
104,Nissan,27.308,15.38,Car,25 to 30,26.399,3.3,200,112.2,74.9,194.8,4.0,20.0,22,71.17166413
105,Nissan,42.574,17.81,Car,25 to 30,29.299,3.3,200,106.3,71.7,182.6,4.0,21.0,20,72.29035508
108,Oldsmobile,1.112,11.24,Passenger,15 to 20,18.145,3.1,150,107.0,69.4,192.0,3.5,15.2,26,60.86161155
111,Oldsmobile,14.69,19.89,Passenger,35 to 40,36.229,4.0,250,113.8,74.4,205.4,4.0,18.5,22,103.4416926
112,Oldsmobile,20.017,19.925,Car,30 to 35,31.598,4.3,200,107.0,67.8,181.2,4.5,17.5,20,80.51167259
113,Oldsmobile,24.361,15.24,Car,25 to 30,25.345,3.4,200,120.0,72.2,201.4,4.0,25.0,22,76.09657042
114,Plymouth,32.734,7.75,Passenger,10 to 15,12.64,2.0,150,105.0,74.4,174.4,3.0,12.5,30,52.08489875
115,Plymouth,5.24,9.8,Passenger,15 to 20,16.08,2.0,150,108.0,71.0,186.3,3.0,16.0,28,53.41189767
116,Plymouth,24.155,12.025,Car,15 to 20,18.85,2.4,150,113.3,76.8,186.3,4.0,20.0,24,60.95118512
118,Pontiac,51.645,13.79,Passenger,20 to 25,21.61,2.4,150,104.1,68.4,181.9,3.0,15.0,28,62.0158703
119,Pontiac,131.097,10.29,Passenger,15 to 20,19.72,3.4,200,107.0,70.4,186.3,3.5,15.2,26,70.38973726
120,Pontiac,19.911,17.805,Passenger,25 to 30,25.31,3.8,200,101.1,74.5,193.4,3.5,16.8,26,81.49272616
121,Pontiac,92.364,14.01,Passenger,20 to 25,21.665,3.8,200,110.5,72.7,196.5,3.5,18.0,26,78.31816813
122,Pontiac,35.945,13.225,Passenger,20 to 25,23.755,3.8,250,112.2,72.6,202.5,4.0,17.5,24,82.6613556
124,Porsche,8.982,41.25,Passenger,40 to 45,41.43,2.7,250,95.2,70.1,171.0,3.0,17.0,22,93.4373307
125,Porsche,1.28,60.625,Passenger,70 to 75,71.02,3.4,300,92.6,69.5,174.5,3.5,17.0,22,134.3909754
126,Porsche,1.866,67.55,Passenger,70 to 75,74.97,3.4,300,92.6,69.5,174.5,3.5,17.0,24,135.9147096
129,Saturn,80.62,9.2,Passenger,10 to 15,10.685,1.9,100,102.4,66.4,176.9,2.5,12.1,34,39.98642475
130,Saturn,24.546,10.59,Passenger,10 to 15,12.535,1.9,100,102.4,66.4,180.0,2.5,12.1,34,40.70007242
131,Saturn,5.223,10.79,Passenger,10 to 15,14.29,1.9,150,102.4,66.4,176.9,2.5,12.1,32,49.86577367
136,Toyota,142.535,10.025,Passenger,10 to 15,13.108,1.8,150,97.0,66.7,174.0,2.5,13.2,34,47.96897242
137,Toyota,247.994,13.245,Passenger,15 to 20,17.518,2.2,150,105.2,70.1,188.5,3.0,18.5,28,54.37241965
138,Toyota,63.849,18.14,Passenger,25 to 30,25.545,3.0,250,107.1,71.7,191.9,3.5,18.5,26,84.91189826
139,Toyota,33.269,15.445,Passenger,15 to 20,16.875,1.8,150,102.4,68.3,170.5,2.5,14.5,32,56.49603034
140,Toyota,84.087,9.575,Car,10 to 15,11.528,2.4,150,103.3,66.5,178.7,3.0,15.1,24,55.29711658
142,Toyota,25.106,13.325,Car,15 to 20,16.888,2.0,150,94.9,66.7,163.8,3.0,15.3,28,51.95510887
143,Toyota,68.411,19.425,Car,20 to 25,22.288,2.7,150,105.3,66.5,183.3,3.5,18.5,24,62.35557713
144,Toyota,9.835,34.08,Car,50 to 55,51.728,4.7,250,112.2,76.4,192.5,5.5,25.4,16,102.5289842
145,Volkswagen,9.761,11.425,Passenger,10 to 15,14.9,2.0,150,98.9,68.3,163.3,3.0,14.5,26,46.94387676
146,Volkswagen,83.721,13.24,Passenger,15 to 20,16.7,2.0,150,98.9,68.3,172.3,3.0,14.5,26,47.63823666
147,Volkswagen,51.102,16.725,Passenger,20 to 25,21.2,1.8,150,106.4,68.5,184.1,3.5,16.4,28,61.70138136
148,Volkswagen,9.569,16.575,Passenger,15 to 20,19.99,2.0,150,97.4,66.7,160.4,3.5,13.7,26,48.90737225
149,Volkswagen,5.596,13.76,Passenger,15 to 20,17.5,2.0,150,98.9,68.3,163.3,3.0,14.6,26,47.94684106
